Month,Year,BWP
January,2012,20905
February,2012,38161
March,2012,39249
April,2012,36899
May,2012,43495
June,2012,56535
July,2012,44308.28
August,2012,49966.14
September,2012,54583.6
October,2012,47844.28
November,2012,44500.14
December,2012,35904.14
January,2013,40000
February,2013,30471
March,2013,26731
April,2013,36413
May,2013,41924
June,2013,36150
July,2013,43448
August,2013,43268
September,2013,23855
October,2013,43225
November,2013,30640
December,2013,27630
January,2014,26900
February,2014,30708
March,2014,36109
April,2014,32954
May,2014,57826
June,2014,34273
July,2014,41254
August,2014,57287
September,2014,50850
October,2014,73900
November,2014,39700
December,2014,46468
January,2015,42274
February,2015,33090
March,2015,43909
April,2015,31728
May,2015,37020
June,2015,37670
July,2015,28075
August,2015,77005
September,2015,44935
October,2015,41262
November,2015,47905
December,2015,46905
January,2016,35320
February,2016,40131
March,2016,43992
April,2016,32415
May,2016,55014
June,2016,48175
July,2016,33915
August,2016,36430
September,2016,43136
October,2016,38104
November,2016,27410
December,2016,37917
January,2017,21825
February,2017,22850
March,2017,24500
April,2017,19020
May,2017,20600
June,2017,19000
July,2017,14300
August,2017,21640
September,2017,12520
October,2017,14200
November,2017,12350
December,2017,14470
