date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,0.0304123089864,59.2989,
1961-12-31,0.0329023366447,62.7425,6.3433
1962-12-31,0.0356432076265,66.4455,6.6667
1963-12-31,0.0380911505662,69.3776,5.921
1964-12-31,0.0416139690506,74.0101,6.8323
1965-12-31,0.0457908697473,80.1977,5.814
1966-12-31,0.0514644351464,89.5259,6.344
1967-12-31,0.0586464435146,101.3377,5.9246
1968-12-31,0.0662482566248,113.7007,10.5671
1969-12-31,0.0773569140788,131.8426,15.1234
1970-12-31,0.0962451144612,162.5092,17.1203
1971-12-31,0.1274564851207,210.9721,25.8211
1972-12-31,0.164466873706,262.4746,26.3619
1973-12-31,0.2441290880277,371.4425,21.3032
1974-12-31,0.306033848418,442.5211,8.7978
1975-12-31,0.3551724137931,487.9211,8.4463
1976-12-31,0.3720101195952,485.3842,10.6474
1977-12-31,0.4516033254157,559.6298,12.012
1978-12-31,0.5903767205989,695.0564,14.3328
1979-12-31,0.8198773006135,917.6019,12.1486
1980-12-31,1.0609238291302,1130.3523,11.9869
1981-12-31,1.0738615991395,1092.7142,9.0649
1982-12-31,1.0149072545402,992.0805,12.1655
1983-12-31,1.1722581821497,1105.1564,13.1467
1984-12-31,1.2407963647566,1128.8485,8.5454
1985-12-31,1.1147640071481,978.9761,7.1253
1986-12-31,1.3926347719653,1180.9365,8.1729
1987-12-31,1.9652748823635,1610.4045,11.8819
1988-12-31,2.6445368041124,2096.722,19.45
1989-12-31,3.0838006848975,2369.1092,13.0594
1990-12-31,3.7905670518678,2825.6731,6.7728
1991-12-31,3.9427928373566,2855.8877,7.4587
1992-12-31,4.1465137223302,2918.6516,2.9171
1993-12-31,4.1600862531468,2844.9664,1.9161
1994-12-31,4.2593309990315,2832.8609,3.6279
1995-12-31,4.7306110670226,3064.5937,7.0304
1996-12-31,4.8477528427892,3063.9918,5.8298
1997-12-31,5.0202147474526,3100.1342,8.3259
1998-12-31,4.7904588371708,2893.3151,0.4437
1999-12-31,5.4842574171784,3242.1338,9.6672
2000-12-31,5.7883296091576,3351.6965,1.9877
2001-12-31,5.4896082996645,3115.679,0.2506
2002-12-31,5.4388571067354,3029.7845,6.0695
2003-12-31,7.5115821733772,4111.7381,4.6259
2004-12-31,8.9574677065354,4818.2131,2.7058
2005-12-31,9.918907108097,5240.3162,4.5566
2006-12-31,9.9191584824109,5142.9138,8.3639
2007-12-31,10.567270655503,5372.3407,5.7926
2008-12-31,10.730763098917,5345.8159,3.2521
2009-12-31,10.118518637056,4938.2789,-14.1442
2010-12-31,12.637319933467,6041.7543,10.1222
2011-12-31,15.110716533591,7080.8128,6.8385
2012-12-31,13.90751000589,6393.0083,-0.1709
2013-12-31,14.271752527117,6436.6094,11.1028
2014-12-31,15.470059201658,6844.0203,5.697
2015-12-31,13.530738157765,5869.7329,-4.851
2016-12-31,15.082579073863,6411.5272,7.2018
2017-12-31,16.105182316331,6705.3519,4.1131
2018-12-31,17.031901441177,6947.8008,4.1898
2019-12-31,16.69592879257,6679.1677,3.0326
2020-12-31,14.930072458581,5863.2032,-8.7264
2021-12-31,17.614791265682,6805.2213,11.37
