,year,crashes,casuality,fatalities,registered_vehicles,estimated_pop,inflation_rate_(%),gdp_(_billions_of_us_$),per_capita_($)
0,1981,1715,940,93,34698,941027,16.428,1.0738615991395,1092.7142
1,1982,2648,1614,130,38451,975625,11.1372,1.0149072545402,992.0805
2,1983,2205,1251,176,42479,101138,10.4771,1.1722581821497,1105.1564
3,1984,3300,1799,168,47192,104845,8.5775,1.2407963647566,1128.8485
4,1985,3521,2369,198,51678,1086139,8.0946,1.1147640071481,978.9761
5,1986,4983,1448,182,55604,1125008,10.0017,1.3926347719653,1180.9365
6,1987,4515,1746,191,57705,1164893,9.8019,1.9652748823635,1610.4045
7,1988,5741,2923,262,64301,1205834,8.3517,2.6445368041124,2096.722
8,1989,6299,4136,295,70030,1247771,11.575,3.0838006848975,2369.1092
9,1990,7614,4845,314,80953,1290642,11.3963,3.7905670518678,2825.6731
10,1991,8381,4871,349,83048,1326796,11.765,3.9427928373566,2855.8877
11,1992,9017,4909,368,90405,1378993,16.1676,4.1465137223302,2918.6516
12,1993,9161,5136,379,94440,1424502,14.3308,4.1600862531468,2844.9664
13,1994,9420,5171,352,108048,1458690,10.5429,4.2593309990315,2832.8609
14,1995,9536,5247,410,117733,1493699,10.5125,4.7306110670226,3064.5937
15,1996,10338,5457,388,128292,1529548,10.0829,4.8477528427892,3063.9918
16,1997,11882,5956,411,133691,1546725,8.7199,5.0202147474526,3100.1342
17,1998,14279,6887,453,139839,1598610,6.6614,4.7904588371708,2893.3151
18,1999,16922,8049,494,149639,1603847,7.7493,5.4842574171784,3242.1338
19,2000,16313,7790,529,154000,1642339,8.6015,5.7883296091576,3351.6965
20,2001,17125,7945,526,166405,1622129,6.559,5.4896082996645,3115.679
21,2002,18610,8014,520,186865,1649659,8.0328,5.4388571067354,3029.7845
22,2003,18329,7969,557,204228,1973184,9.1899,7.5115821733772,4111.7381
23,2004,18136,7840,532,225182,1692731,6.9457,8.9574677065354,4818.2131
24,2005,17522,7069,450,246681,1708327,8.6102,9.918907108097,5240.3162
25,2006,17035,6952,429,277117,1719996,11.5552,9.9191584824109,5142.9138
26,2007,19487,7639,497,293755,1736396,7.081,10.567270655503,5372.3407
27,2008,20415,8160,455,329270,1755246,12.7022,10.730763098917,5345.8159
28,2009,20000,7970,475,359223,1776494,8.0273,10.118518637056,4938.2789
29,2010,18978,6430,397,394401,1800098,6.9489,12.637319933467,6041.7543
30,2011,18001,6436,483,430594,2024904,8.4599,15.110716533591,7080.8128
31,2012,17527,6035,404,473530,2066406,7.5369,13.90751000589,6393.0083
32,2013,17062,6157,411,515270,2107484,5.8846,14.271752527117,6436.6094
33,2014,16641,6065,377,556737,2147906,4.4023,15.470059201658,6844.0203
34,2015,17564,6303,411,602822,2187477,3.062,13.530738157765,5869.7329
35,2016,18373,6687,450,653274,2226040,2.815,15.082579073863,6411.5272
36,2017,17786,5033,444,649519,2264993,3.3083,16.105182316331,6705.3519
37,2018,17341,6243,462,224516,2302878,3.238,17.031901441177,6947.8008
38,2019,18623,6442,457,224516,2338851,2.7729,16.69592879257,6679.1677
39,2020,15075,5052,325,224516,2374698,1.8904,14.930072458581,5863.2032
40,2021,17277,5219,413,224516,1593064,7.241,17.614791265682,6805.2213
