Casualty Class,Year,Day Time,Crash Casualty
Fatalities,2009,Daylight,236
Fatalities,2010,Daylight,196
Fatalities,2011,Daylight,259
Fatalities,2012,Daylight,227
Fatalities,2013,Daylight,183
Fatalities,2014,Daylight,174
Fatalities,2015,Daylight,174
Fatalities,2016,Daylight,228
Fatalities,2017,Daylight,179
Serious Injuries,2009,Daylight,765
Serious Injuries,2010,Daylight,658
Serious Injuries,2011,Daylight,700
Serious Injuries,2012,Daylight,754
Serious Injuries,2013,Daylight,693
Serious Injuries,2014,Daylight,661
Serious Injuries,2015,Daylight,769
Serious Injuries,2016,Daylight,638
Serious Injuries,2017,Daylight,538
Minor Injuries,2009,Daylight,4026
Minor Injuries,2010,Daylight,2833
Minor Injuries,2011,Daylight,2745
Minor Injuries,2012,Daylight,2631
Minor Injuries,2013,Daylight,2468
Minor Injuries,2014,Daylight,2632
Minor Injuries,2015,Daylight,2655
Minor Injuries,2016,Daylight,2918
Minor Injuries,2017,Daylight,2540
Fatalities,2009,Dusk,14
Fatalities,2010,Dusk,11
Fatalities,2011,Dusk,0
Fatalities,2012,Dusk,0
Fatalities,2013,Dusk,0
Fatalities,2014,Dusk,0
Fatalities,2015,Dusk,0
Fatalities,2016,Dusk,0
Fatalities,2017,Dusk,0
Serious Injuries,2009,Dusk,29
Serious Injuries,2010,Dusk,25
Serious Injuries,2011,Dusk,0
Serious Injuries,2012,Dusk,0
Serious Injuries,2013,Dusk,0
Serious Injuries,2014,Dusk,0
Serious Injuries,2015,Dusk,0
Serious Injuries,2016,Dusk,0
Serious Injuries,2017,Dusk,0
Minor Injuries,2009,Dusk,115
Minor Injuries,2010,Dusk,62
Minor Injuries,2011,Dusk,0
Minor Injuries,2012,Dusk,0
Minor Injuries,2013,Dusk,0
Minor Injuries,2014,Dusk,0
Minor Injuries,2015,Dusk,0
Minor Injuries,2016,Dusk,0
Minor Injuries,2017,Dusk,0
Fatalities,2009,Night Street lit,34
Fatalities,2010,Night Street lit,19
Fatalities,2011,Night Street lit,38
Fatalities,2012,Night Street lit,43
Fatalities,2013,Night Street lit,35
Fatalities,2014,Night Street lit,48
Fatalities,2015,Night Street lit,55
Fatalities,2016,Night Street lit,34
Fatalities,2017,Night Street lit,42
Serious Injuries,2009,Night Street lit,144
Serious Injuries,2010,Night Street lit,97
Serious Injuries,2011,Night Street lit,92
Serious Injuries,2012,Night Street lit,115
Serious Injuries,2013,Night Street lit,129
Serious Injuries,2014,Night Street lit,120
Serious Injuries,2015,Night Street lit,142
Serious Injuries,2016,Night Street lit,114
Serious Injuries,2017,Night Street lit,144
Minor Injuries,2009,Night Street lit,493
Minor Injuries,2010,Night Street lit,422
Minor Injuries,2011,Night Street lit,518
Minor Injuries,2012,Night Street lit,471
Minor Injuries,2013,Night Street lit,486
Minor Injuries,2014,Night Street lit,507
Minor Injuries,2015,Night Street lit,520
Minor Injuries,2016,Night Street lit,582
Minor Injuries,2017,Night Street lit,664
Fatalities,2009,Night bright moon,8
Fatalities,2010,Night bright moon,18
Fatalities,2011,Night bright moon,8
Fatalities,2012,Night bright moon,10
Fatalities,2013,Night bright moon,3
Fatalities,2014,Night bright moon,8
Fatalities,2015,Night bright moon,11
Fatalities,2016,Night bright moon,6
Fatalities,2017,Night bright moon,2
Serious Injuries,2009,Night bright moon,51
Serious Injuries,2010,Night bright moon,36
Serious Injuries,2011,Night bright moon,18
Serious Injuries,2012,Night bright moon,18
Serious Injuries,2013,Night bright moon,23
Serious Injuries,2014,Night bright moon,9
Serious Injuries,2015,Night bright moon,24
Serious Injuries,2016,Night bright moon,8
Serious Injuries,2017,Night bright moon,11
Minor Injuries,2009,Night bright moon,90
Minor Injuries,2010,Night bright moon,61
Minor Injuries,2011,Night bright moon,74
Minor Injuries,2012,Night bright moon,56
Minor Injuries,2013,Night bright moon,64
Minor Injuries,2014,Night bright moon,21
Minor Injuries,2015,Night bright moon,55
Minor Injuries,2016,Night bright moon,60
Minor Injuries,2017,Night bright moon,50
Fatalities,2009,Dark,183
Fatalities,2010,Dark,153
Fatalities,2011,Dark,178
Fatalities,2012,Dark,124
Fatalities,2013,Dark,190
Fatalities,2014,Dark,147
Fatalities,2015,Dark,171
Fatalities,2016,Dark,182
Fatalities,2017,Dark,221
Serious Injuries,2009,Dark,551
Serious Injuries,2010,Dark,436
Serious Injuries,2011,Dark,429
Serious Injuries,2012,Dark,398
Serious Injuries,2013,Dark,463
Serious Injuries,2014,Dark,444
Serious Injuries,2015,Dark,429
Serious Injuries,2016,Dark,483
Serious Injuries,2017,Dark,459
Minor Injuries,2009,Dark,1231
Minor Injuries,2010,Dark,1403
Minor Injuries,2011,Dark,1377
Minor Injuries,2012,Dark,1188
Minor Injuries,2013,Dark,1420
Minor Injuries,2014,Dark,1294
Minor Injuries,2015,Dark,1298
Minor Injuries,2016,Dark,1434
Minor Injuries,2017,Dark,1485
